Wikisurvey ID,Idea ID,Idea Text,Wins,Losses,Times involved in Cant Decide,Score,User Submitted,Session ID,Created at,Last Activity,Active,Appearances on Left,Appearances on Right,Info
4271,293157,"Princeton University, USA",57,4,1,92.0635,FALSE,2682842,2013-11-15 02:08:42 UTC,2017-04-11 11:30:41 UTC,TRUE,45,39,NA
4271,293155,"Harvard University, USA",78,7,1,90.8046,FALSE,2682842,2013-11-15 02:08:42 UTC,2017-07-24 10:00:52 UTC,TRUE,37,62,NA
4271,293154,"Stanford University, USA",54,5,1,90.1639,FALSE,2682842,2013-11-15 02:08:42 UTC,2017-04-11 03:31:39 UTC,TRUE,32,39,NA
4271,293160,"University of California, Berkeley, USA",72,7,1,90.1235,FALSE,2682842,2013-11-15 02:08:42 UTC,2017-11-10 03:48:25 UTC,TRUE,48,46,NA
4271,293156,"Massachusetts Institute of Technology, USA",59,7,2,88.2353,FALSE,2682842,2013-11-15 02:08:42 UTC,2017-05-18 13:42:53 UTC,TRUE,45,43,NA
4271,293164,"University of California, Los Angeles, USA",66,8,4,88.1579,FALSE,2682842,2013-11-15 02:08:42 UTC,2017-11-10 03:47:35 UTC,TRUE,45,47,NA
4271,293169,"Cornell University, USA",76,10,3,87.5,FALSE,2682842,2013-11-15 02:08:42 UTC,2017-05-14 20:53:26 UTC,TRUE,48,57,NA
4271,293162,"Yale University, USA",59,8,1,86.9565,FALSE,2682842,2013-11-15 02:08:42 UTC,2017-11-10 03:48:39 UTC,TRUE,43,40,NA
4271,293152,"California Institute of Technology, USA",58,10,8,84.2857,FALSE,2682842,2013-11-15 02:08:42 UTC,2017-04-11 11:30:44 UTC,TRUE,47,44,NA
4271,293153,"University of Oxford, UK",66,12,5,83.75,FALSE,2682842,2013-11-15 02:08:42 UTC,2017-05-06 08:34:59 UTC,TRUE,63,46,NA
4271,293158,"University of Cambridge, UK",55,10,3,83.5821,FALSE,2682842,2013-11-15 02:08:42 UTC,2017-04-14 06:53:24 UTC,TRUE,44,41,NA
4271,293197,"Peking University, China",68,13,7,83.1325,FALSE,2682842,2013-11-15 02:08:43 UTC,2017-11-10 03:47:26 UTC,TRUE,53,50,NA
4271,293207,"University of Southern California, USA",48,9,5,83.0508,FALSE,2682842,2013-11-15 02:08:43 UTC,2017-05-04 15:05:16 UTC,TRUE,40,37,NA
4271,293165,"Columbia University, USA",71,15,2,81.8182,FALSE,2682842,2013-11-15 02:08:42 UTC,2017-04-14 06:51:43 UTC,TRUE,51,56,NA
4271,293181,"University of British Columbia, Canada",54,12,8,80.8824,FALSE,2682842,2013-11-15 02:08:42 UTC,2017-11-20 07:12:40 UTC,TRUE,46,42,NA
4271,293182,"University of Wisconsin-Madison, USA",53,12,10,80.597,FALSE,2682842,2013-11-15 02:08:42 UTC,2017-04-28 07:23:04 UTC,TRUE,53,50,NA
4271,293166,"University of Pennsylvania, USA",55,14,1,78.8732,FALSE,2682842,2013-11-15 02:08:42 UTC,2017-04-11 11:31:34 UTC,TRUE,46,32,NA
4271,293161,"University of Chicago, USA",47,12,3,78.6885,FALSE,2682842,2013-11-15 02:08:42 UTC,2017-05-06 08:33:32 UTC,TRUE,38,38,NA
4271,293192,"New York University, USA",61,16,6,78.481,FALSE,2682842,2013-11-15 02:08:43 UTC,2017-04-11 05:36:14 UTC,TRUE,43,60,NA
4271,293170,"Northwestern University, USA",60,16,2,78.2051,FALSE,2682842,2013-11-15 02:08:42 UTC,2017-04-14 06:55:06 UTC,TRUE,52,36,NA
4271,293189,"University of California, San Diego, USA",59,16,6,77.9221,FALSE,2682842,2013-11-15 02:08:43 UTC,2017-11-26 07:13:31 UTC,TRUE,53,44,NA
4271,293173,"Carnegie Mellon University, USA",51,14,4,77.6119,FALSE,2682842,2013-11-15 02:08:42 UTC,2017-04-27 10:56:21 UTC,TRUE,50,45,NA
4271,293171,"University of Michigan, USA",67,19,7,77.2727,FALSE,2682842,2013-11-15 02:08:42 UTC,2017-04-14 06:53:22 UTC,TRUE,64,44,NA
4271,293167,"Johns Hopkins University, USA",63,18,3,77.1084,FALSE,2682842,2013-11-15 02:08:42 UTC,2017-11-20 07:12:53 UTC,TRUE,54,45,NA
4271,293202,"Brown University, USA",59,17,4,76.9231,FALSE,2682842,2013-11-15 02:08:43 UTC,2017-11-24 12:14:04 UTC,TRUE,42,53,NA
4271,293163,"ETH Zürich – Swiss Federal Institute of Technology Zürich, Switzerland",64,19,7,76.4706,FALSE,2682842,2013-11-15 02:08:42 UTC,2017-11-10 03:47:54 UTC,TRUE,49,59,NA
4271,293175,"University of Washington, USA",62,19,4,75.9036,FALSE,2682842,2013-11-15 02:08:42 UTC,2017-05-10 11:49:05 UTC,TRUE,57,42,NA
4271,293177,"Georgia Institute of Technology, USA",57,18,6,75.3247,FALSE,2682842,2013-11-15 02:08:42 UTC,2017-11-26 07:13:41 UTC,TRUE,49,52,NA
4271,293159,"Imperial College London, UK",62,21,7,74.1176,FALSE,2682842,2013-11-15 02:08:42 UTC,2017-05-14 20:52:48 UTC,TRUE,43,62,NA
4271,293186,"The University of Hong Kong, Hong Kong",60,21,1,73.494,FALSE,2682842,2013-11-15 02:08:42 UTC,2017-05-06 09:42:52 UTC,TRUE,51,44,NA
4271,293203,"Tsinghua University, China",49,18,3,72.4638,FALSE,2682842,2013-11-15 02:08:43 UTC,2017-11-10 03:49:02 UTC,TRUE,48,35,NA
4271,293174,"Duke University, USA",62,23,5,72.4138,FALSE,2682842,2013-11-15 02:08:42 UTC,2017-05-04 15:04:53 UTC,TRUE,55,52,NA
4271,293172,"University of Toronto, Canada",46,17,3,72.3077,FALSE,2682842,2013-11-15 02:08:42 UTC,2017-04-13 13:57:01 UTC,TRUE,40,38,NA
4271,293187,"University of California, Santa Barbara, USA",43,16,8,72.1311,FALSE,2682842,2013-11-15 02:08:43 UTC,2017-05-06 08:33:59 UTC,TRUE,46,37,NA
4271,293220,"Purdue University, USA",52,21,8,70.6667,FALSE,2682842,2013-11-15 02:08:43 UTC,2017-04-14 06:53:04 UTC,TRUE,45,48,NA
4271,293273,"University of California, Santa Cruz, USA",54,22,11,70.5128,FALSE,2682842,2013-11-15 02:08:43 UTC,2017-04-14 06:54:44 UTC,TRUE,48,55,NA
4271,293301,"Boston College, USA",56,23,12,70.3704,FALSE,2682842,2013-11-15 02:08:43 UTC,2017-05-14 20:53:09 UTC,TRUE,47,59,NA
4271,293176,"University of Texas at Austin, USA",55,23,6,70.0,FALSE,2682842,2013-11-15 02:08:42 UTC,2017-05-06 08:32:45 UTC,TRUE,57,39,NA
4271,293247,"University of California, Irvine, USA",46,20,5,69.1176,FALSE,2682842,2013-11-15 02:08:43 UTC,2017-04-11 03:03:25 UTC,TRUE,42,47,NA
4271,293178,"University of Tokyo, Japan",46,20,6,69.1176,FALSE,2682842,2013-11-15 02:08:42 UTC,2017-11-10 03:47:54 UTC,TRUE,41,40,NA
4271,293196,"University of California, Davis, USA",54,25,9,67.9012,FALSE,2682842,2013-11-15 02:08:43 UTC,2017-11-10 03:47:47 UTC,TRUE,53,52,NA
4271,293193,"University of North Carolina at Chapel Hill, USA",47,22,7,67.6056,FALSE,2682842,2013-11-15 02:08:43 UTC,2017-11-26 07:14:25 UTC,TRUE,37,53,NA
4271,293190,"London School of Economics and Political Science, UK",42,20,9,67.1875,FALSE,2682842,2013-11-15 02:08:43 UTC,2017-11-26 07:13:23 UTC,TRUE,39,55,NA
4271,293217,"Hong Kong University of Science and Technology, Hong Kong",45,22,2,66.6667,FALSE,2682842,2013-11-15 02:08:43 UTC,2017-05-04 09:12:58 UTC,TRUE,33,48,NA
4271,293248,"University of Maryland, College Park, USA",52,26,10,66.25,FALSE,2682842,2013-11-15 02:08:43 UTC,2017-05-04 09:13:47 UTC,TRUE,57,52,NA
4271,293226,"Rice University, USA",42,21,8,66.1538,FALSE,2682842,2013-11-15 02:08:43 UTC,2017-05-06 09:43:02 UTC,TRUE,39,50,NA
4271,293184,"University of Illinois at Urbana Champaign, USA",49,25,9,65.7895,FALSE,2682842,2013-11-15 02:08:42 UTC,2017-11-10 03:48:25 UTC,TRUE,47,55,NA
4271,293313,"Stony Brook University, USA",35,18,12,65.4545,FALSE,2682842,2013-11-15 02:08:43 UTC,2017-11-20 07:12:46 UTC,TRUE,45,32,NA
4271,293185,"McGill University, Canada",38,20,9,65.0,FALSE,2682842,2013-11-15 02:08:42 UTC,2017-04-24 10:39:02 UTC,TRUE,49,35,NA
4271,293253,"University of Rochester, USA",43,23,7,64.7059,FALSE,2682842,2013-11-15 02:08:43 UTC,2017-04-14 06:54:14 UTC,TRUE,46,44,NA
4271,293212,"Pennsylvania State University, USA",54,29,7,64.7059,FALSE,2682842,2013-11-15 02:08:43 UTC,2017-05-04 09:13:43 UTC,TRUE,56,51,NA
